url,name,description,start_date,end_date,venue_name,venue_city,venue_state,yelp_labels,yelp_scores,event_text
https://www.eventbrite.com/e/heart-breakers-tickets-1981921290933,"Heart Breakers Tickets, Thursday, Feb 26 from 7 pm to 9 pm","Eventbrite - Kit Kat Club presents Heart Breakers - Thursday, February 26, 2026 at Kit Kat Club, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Performing Arts', 'Event Planning & Services']","[0.972, 0.97, 0.908]","Categories: Arts & Entertainment, Performing Arts, Event Planning & Services"
https://www.eventbrite.com/e/mohan-matchmaking-chicago-mixer-tickets-1921711794709,"Mohan Matchmaking CHICAGO MIXER! Tickets, Saturday, Mar 7 from 5 pm to 8 pm","Eventbrite - Mohan Matchmaking presents Mohan Matchmaking CHICAGO MIXER! - Saturday, March 7, 2026 at TBD, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Arts & Entertainment', 'Nightlife']","[0.954, 0.939, 0.851]","Categories: Event Planning & Services, Arts & Entertainment, Nightlife"
https://www.eventbrite.com/e/speakpreneur-chicago-2-day-workshop-tickets-1978166030849,"Speakpreneur Chicago (2 Day Workshop) Tickets, Friday, Mar 6 at 9 am to Saturday, Mar 7 at 5 pm","Eventbrite - Paul Getter presents Speakpreneur Chicago (2 Day Workshop) - Friday, March 6, 2026 at Omni hotel, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Hotels & Travel', 'Arts & Entertainment']","[0.829, 0.767, 0.75]","Categories: Event Planning & Services, Hotels & Travel, Arts & Entertainment"
https://www.eventbrite.com/e/ballroom-101-class-tickets-1977540506890,"Ballroom 101 Class Tickets, Multiple dates","Eventbrite - Ballroom Dance Chicago presents Ballroom 101 Class - Wednesday, January 7, 2026 at Ballroom Dance Chicago, Chicago, IL. Find event and ticket information.",,,,,,"['Performing Arts', 'Event Planning & Services', 'Arts & Entertainment']","[0.978, 0.896, 0.83]","Categories: Performing Arts, Event Planning & Services, Arts & Entertainment"
https://www.eventbrite.com/e/silent-just-vibes-party-chicago-trap-rnb-twerk-tickets-1982650196108,"SILENT ""JUST VIBES"" PARTY CHICAGO (Trap, RnB, Twerk) Tickets, Friday, Mar 6 at 10 pm to Saturday, Mar 7 at 2 am","Eventbrite - Urban Fêtes presents SILENT ""JUST VIBES"" PARTY CHICAGO (Trap, RnB, Twerk) - Friday, March 6, 2026 at BAR22, Chicago, IL. Find event and ticket information.",,,,,,"['Bars', 'Nightlife', 'Arts & Entertainment']","[0.976, 0.969, 0.936]","Categories: Bars, Nightlife, Arts & Entertainment"
https://www.eventbrite.com/e/international-womens-day-social-tickets-1982828468325,"International Women’s Day Social Tickets, Sunday, Mar 8 from 10 am to 2 pm","Eventbrite - Pup Social Chicago presents International Women’s Day Social - Sunday, March 8, 2026 at Pup Social, Chicago, IL. Find event and ticket information.",,,,,,"['Venues & Event Spaces', 'Event Planning & Services', 'Arts & Entertainment']","[0.876, 0.843, 0.837]","Categories: Venues & Event Spaces, Event Planning & Services, Arts & Entertainment"
https://www.eventbrite.sg/e/content-marketing-strategy-for-growth-1-day-training-in-chicago-il-tickets-1979506976654,"Content Marketing Strategy for Growth: 1 Day Training in Chicago, IL Tickets, Multiple dates","Eventbrite - Mangates presents Content Marketing Strategy for Growth: 1 Day Training in Chicago, IL - Wednesday, January 14, 2026 at regus IL, Chicago - 111 W. Jackson, Chicago, IL. Find event and ticket information.",,,,,,['Performing Arts'],[0.308],Categories: Performing Arts
https://www.eventbrite.com/e/handspinning-101-making-yarn-on-a-drop-spindle-tickets-1369000069059,"Handspinning 101:  making yarn on a drop spindle Tickets, Multiple dates","Eventbrite - Inclement Craft presents Handspinning 101:  making yarn on a drop spindle - Wednesday, July 23, 2025 at Inclement Craft's Studio, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Education', 'Event Planning & Services']","[0.948, 0.919, 0.839]","Categories: Arts & Entertainment, Education, Event Planning & Services"
https://www.eventbrite.com/e/2000s-reggaeton-brunch-day-party-tickets-1979707754185,"2000's Reggaeton Brunch & Day Party Tickets, Multiple dates","Eventbrite - CNE Presents presents 2000's Reggaeton Brunch & Day Party - Sunday, January 11, 2026 at Tabu, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Performing Arts', 'Nightlife']","[0.939, 0.932, 0.925]","Categories: Arts & Entertainment, Performing Arts, Nightlife"
https://www.eventbrite.sg/e/cross-cultural-communication-for-global-teams-1-day-course-chicago-il-tickets-1979964569326,"Cross-Cultural Communication for Global Teams: 1 Day Course | Chicago, IL Tickets, Multiple dates","Eventbrite - Mangates presents Cross-Cultural Communication for Global Teams: 1 Day Course | Chicago, IL - Friday, February 6, 2026 at Regus - Chicago - 111 W. Jackson, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Theaters', 'Venues & Event Spaces']","[0.91, 0.731, 0.699]","Categories: Event Planning & Services, Theaters, Venues & Event Spaces"
