url,name,description,classifier_input,start_date,end_date,venue_name,venue_city,venue_state,yelp_labels,yelp_scores,event_text
https://www.eventbrite.com/e/chicago-singles-event-happy-hour-mixer-ages-40-55-tickets-1983598552668,"Chicago Singles Event: Happy Hour Mixer (Ages 40-55) Tickets, Friday, Mar 13 from 7 pm to 9 pm",,"Chicago Singles Event: Happy Hour Mixer (Ages 40-55) Tickets, Friday, Mar 13 from 7 pm to 9 pm",,,,,,"['Nightlife', 'Active Life']","[0.763, 0.316]","Categories: Nightlife, Active Life"
https://www.eventbrite.com/e/stpatricks-day-darty-tickets-1984308710770,"ST.PATRICK'S DAY DARTY Tickets, Saturday, Mar 14 from 10 am to 4 pm",,"ST.PATRICK'S DAY DARTY Tickets, Saturday, Mar 14 from 10 am to 4 pm",,,,,,"['Arts & Entertainment', 'Performing Arts']","[0.935, 0.904]","Categories: Arts & Entertainment, Performing Arts"
https://www.eventbrite.com/e/deep-dish-pizza-classes-with-pizzeria-uno-tickets-935735458947,"Deep Dish Pizza Classes with Pizzeria UNO Tickets, Multiple Dates",,"Deep Dish Pizza Classes with Pizzeria UNO Tickets, Multiple Dates",,,,,,"['Specialty Food', 'Restaurants']","[0.842, 0.575]","Categories: Specialty Food, Restaurants"
https://www.eventbrite.com/e/celebrate-st-patricks-day-at-the-penthouse-tickets-1980201719649,"Celebrate St. Patrick's Day at The Penthouse Tickets, Saturday, Mar 14 from 12 pm to 4 pm",,"Celebrate St. Patrick's Day at The Penthouse Tickets, Saturday, Mar 14 from 12 pm to 4 pm",,,,,,"['Venues & Event Spaces', 'Arts & Entertainment', 'Music Venues']","[0.583, 0.366, 0.355]","Categories: Venues & Event Spaces, Arts & Entertainment, Music Venues"
https://www.eventbrite.com/e/west-loop-st-patricks-day-bar-fest-tickets-1980467663093,"West Loop St. Patrick's Day Bar Fest Tickets, Saturday, Mar 14 from 8 am to 12 pm",,"West Loop St. Patrick's Day Bar Fest Tickets, Saturday, Mar 14 from 8 am to 12 pm",,,,,,"['Bars', 'Nightlife']","[0.966, 0.792]","Categories: Bars, Nightlife"
https://www.eventbrite.com/e/handspinning-101-making-yarn-on-a-drop-spindle-tickets-1369000069059,"Handspinning 101:  making yarn on a drop spindle Tickets, Multiple Dates",,"Handspinning 101:  making yarn on a drop spindle Tickets, Multiple Dates",,,,,,"['Education', 'Kids Activities', 'Event Planning & Services']","[0.873, 0.527, 0.409]","Categories: Education, Kids Activities, Event Planning & Services"
https://www.eventbrite.com/e/the-lucky-charms-st-patricks-day-bar-crawl-tickets-1983921503623,"The Lucky Charms St. Patrick's Day Bar Crawl Tickets, Saturday, Mar 14 from 9 am to 12 pm",,"The Lucky Charms St. Patrick's Day Bar Crawl Tickets, Saturday, Mar 14 from 9 am to 12 pm",,,,,,"['Bars', 'Nightlife']","[0.908, 0.631]","Categories: Bars, Nightlife"
https://www.eventbrite.com/e/best-fiber-night-ever-tickets-1983499328887,"BEST FIBER NIGHT EVER Tickets, Sunday, Mar 15 from 5 pm to 7 pm",,"BEST FIBER NIGHT EVER Tickets, Sunday, Mar 15 from 5 pm to 7 pm",,,,,,"['Beer', 'Nightlife', 'Arts & Entertainment']","[0.943, 0.892, 0.843]","Categories: Beer, Nightlife, Arts & Entertainment"
https://www.eventbrite.com/e/men-sold-out-speedchicago-dating-ages-2742-chicagos-speed-dating-tickets-1983232243026,"**MEN SOLD OUT**⚡ SpeedChicago Dating | Ages 27–42 | Chicago’s Speed Dating Tickets, Saturday, Mar 14 from 7:30 pm to 9:30 pm",,"**MEN SOLD OUT**⚡ SpeedChicago Dating | Ages 27–42 | Chicago’s Speed Dating Tickets, Saturday, Mar 14 from 7:30 pm to 9:30 pm",,,,,,['Arts & Entertainment'],[0.404],Categories: Arts & Entertainment
https://www.eventbrite.com/e/media-and-business-networking-elevating-your-potential-chicago-tickets-1967660123397,"Media and Business Networking | Elevating Your Potential - Chicago Tickets, Wednesday, Mar 25 from 6 pm to 8 pm",,"Media and Business Networking | Elevating Your Potential - Chicago Tickets, Wednesday, Mar 25 from 6 pm to 8 pm",,,,,,['Active Life'],[0.379],Categories: Active Life
https://www.eventbrite.com/e/deep-dish-pizza-classes-with-pizzeria-uno-tickets-927332926747,"Deep Dish Pizza Classes with Pizzeria UNO Tickets, Multiple Dates",,"Deep Dish Pizza Classes with Pizzeria UNO Tickets, Multiple Dates",,,,,,"['Specialty Food', 'Restaurants']","[0.842, 0.575]","Categories: Specialty Food, Restaurants"
https://www.eventbrite.com/e/st-patricks-day-lucky-charms-wrigleyville-bar-crawl-tickets-1485179203979,"St. Patrick's Day Lucky Charms Wrigleyville Bar Crawl Tickets, Saturday, Mar 14 from 10 am to 7 pm",,"St. Patrick's Day Lucky Charms Wrigleyville Bar Crawl Tickets, Saturday, Mar 14 from 10 am to 7 pm",,,,,,"['Bars', 'Nightlife', 'Arts & Entertainment']","[0.899, 0.841, 0.637]","Categories: Bars, Nightlife, Arts & Entertainment"
https://www.eventbrite.com/e/hot-sauce-poetry-presents-queenology-tickets-1984346713437,HOT SAUCE POETRY ... presents QUEENOLOGY,Get ready for a fiery mix of poetry and queen vibes that'll Spice Up & Empower your day like never before.,HOT SAUCE POETRY ... presents QUEENOLOGY. Get ready for a fiery mix of poetry and queen vibes that'll Spice Up & Empower your day like never before.,2026-03-13T19:30:00-05:00,2026-03-13T21:30:00-05:00,3953 S King Dr,Chicago,IL,"['Arts & Entertainment', 'Active Life']","[0.331, 0.309]","Categories: Arts & Entertainment, Active Life"
https://www.eventbrite.com/e/st-pattys-kids-cookie-decorating-and-story-time-tickets-1983989887160,"St. Patty's Kid's Cookie Decorating and Story Time Tickets, Saturday, Mar 14 from 10 am to 12 pm",,"St. Patty's Kid's Cookie Decorating and Story Time Tickets, Saturday, Mar 14 from 10 am to 12 pm",,,,,,['Kids Activities'],[0.99],Categories: Kids Activities
https://www.eventbrite.com/e/redwood-with-lola-blu-tickets-1982928501527,Redwood with Lola Blu,"This is an intimate, seated dinner show featuring Redwood with Lola Blu!","Redwood with Lola Blu. This is an intimate, seated dinner show featuring Redwood with Lola Blu!",2026-03-19T19:00:00-05:00,2026-03-19T21:00:00-05:00,UncommonGround - Lakeview,Chicago,IL,"['Arts & Entertainment', 'Performing Arts', 'Specialty Food']","[0.974, 0.791, 0.614]","Categories: Arts & Entertainment, Performing Arts, Specialty Food"
https://www.eventbrite.com/e/big-lazy-nyc-live-at-colvin-house-tickets-1982911503686,Big Lazy (NYC) Live at Colvin House,"An unforgettable night of cinematic soundscapes and cool, downtown energy.","Big Lazy (NYC) Live at Colvin House. An unforgettable night of cinematic soundscapes and cool, downtown energy.",2026-03-22T18:00:00-05:00,2026-03-22T20:30:00-05:00,Colvin House,Chicago,IL,"['Arts & Entertainment', 'Performing Arts', 'Nightlife']","[0.872, 0.778, 0.647]","Categories: Arts & Entertainment, Performing Arts, Nightlife"
https://www.eventbrite.com/e/kegs-n-eggs-at-sweetwater-tickets-1981804280953,"Kegs n' Eggs at Sweetwater Tickets, Saturday, Mar 14 from 8 am to 10 am",,"Kegs n' Eggs at Sweetwater Tickets, Saturday, Mar 14 from 8 am to 10 am",,,,,,"['Specialty Food', 'Kids Activities', 'Arts & Entertainment']","[0.86, 0.566, 0.512]","Categories: Specialty Food, Kids Activities, Arts & Entertainment"
https://www.eventbrite.com/e/butoh-dance-workshop-tickets-1979570111492,"Butoh Dance Workshop Tickets, Saturday, Mar 21 from 6:30 pm to 9 pm",,"Butoh Dance Workshop Tickets, Saturday, Mar 21 from 6:30 pm to 9 pm",,,,,,"['Arts & Entertainment', 'Performing Arts']","[0.994, 0.989]","Categories: Arts & Entertainment, Performing Arts"
https://www.eventbrite.com/e/the-equinox-reset-tickets-1984236962168,"The Equinox Reset Tickets, Sunday, Mar 22 from 5 pm to 8 pm",,"The Equinox Reset Tickets, Sunday, Mar 22 from 5 pm to 8 pm",,,,,,"['Performing Arts', 'Arts & Entertainment', 'Music Venues']","[0.99, 0.976, 0.939]","Categories: Performing Arts, Arts & Entertainment, Music Venues"
https://www.eventbrite.com/e/just-for-laughs-auditions-at-laugh-factory-chicago-tickets-1983996762725,Just For Laughs Auditions at Laugh Factory Chicago,Meet the names you'll brag about seeing first!,Just For Laughs Auditions at Laugh Factory Chicago. Meet the names you'll brag about seeing first!,2026-03-20T21:15:00-05:00,2026-03-20T22:45:00-05:00,Laugh Factory Chicago,Chicago,IL,['Comedy Clubs'],[0.953],Categories: Comedy Clubs
https://www.eventbrite.com/e/the-leprechauns-after-hours-with-joy-district-8-pm-tickets-1980145162485,"The Leprechaun's After Hours With Joy District | 8 PM Tickets, Saturday, Mar 14 from 8 pm to 11:30 pm",,"The Leprechaun's After Hours With Joy District | 8 PM Tickets, Saturday, Mar 14 from 8 pm to 11:30 pm",,,,,,"['Arts & Entertainment', 'Performing Arts', 'Nightlife']","[0.988, 0.956, 0.935]","Categories: Arts & Entertainment, Performing Arts, Nightlife"
https://www.eventbrite.com/e/kinship-community-choir-big-sing-tickets-1983900848844,Kinship Community Choir Big Sing,Community-wide celebration of Kinship Community Choir's Winter Season. All voices welcome!!! This is a participatory singing event!!,Kinship Community Choir Big Sing. Community-wide celebration of Kinship Community Choir's Winter Season. All voices welcome!!! This is a participatory singing event!!,2026-03-22T15:00:00-05:00,2026-03-22T16:30:00-05:00,2810 N Milwaukee Ave,Chicago,IL,"['Performing Arts', 'Arts & Entertainment', 'Active Life']","[0.949, 0.834, 0.582]","Categories: Performing Arts, Arts & Entertainment, Active Life"
https://www.eventbrite.com/e/dark-arts-of-the-art-institute-tickets-1984075597522,"Dark Arts of the Art Institute Tickets, Saturday, Mar 14 from 11 am to 12:30 pm",,"Dark Arts of the Art Institute Tickets, Saturday, Mar 14 from 11 am to 12:30 pm",,,,,,['Art Galleries'],[0.405],Categories: Art Galleries
https://www.eventbrite.com/e/not-that-innocent-2000s-dance-party-chicago-tickets-1977806251740,Not That Innocent: 2000s Dance Party [Chicago],Not That Innocent heads to Chicago!,Not That Innocent: 2000s Dance Party [Chicago]. Not That Innocent heads to Chicago!,2026-03-21T21:00:00-05:00,,Subterranean,Chicago,IL,"['Nightlife', 'Arts & Entertainment']","[0.943, 0.658]","Categories: Nightlife, Arts & Entertainment"
https://www.eventbrite.com/e/ides-of-march-2026-dinner-a-show-stand-up-comedy-oak-park-tickets-1982802559832,IDES OF MARCH - 2026! Dinner + A Show  - STAND UP COMEDY OAK PARK,BUY SOON! Comedy Performed By...,IDES OF MARCH - 2026! Dinner + A Show  - STAND UP COMEDY OAK PARK. BUY SOON! Comedy Performed By...,2026-03-14T19:00:00-05:00,2026-03-14T21:30:00-05:00,Salerno's Pizza of Oak Park,Oak Park,IL,"['Performing Arts', 'Arts & Entertainment', 'Comedy Clubs']","[0.963, 0.912, 0.326]","Categories: Performing Arts, Arts & Entertainment, Comedy Clubs"
